"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q2","SOT23-3","21.0984mm","36.714mm","21.0984mm","36.714mm","22.1572mm","35.7564mm","T","270.00","2N7002ET1G"
"R27","res,_0805,_HD","23mm","40.2mm","23mm","40.2mm","22.05mm","40.2mm","T","360.00","Vishay / Dale CRCW080510K0FKTA"
"C18","CAP,_0805,_HD","4.893mm","37.073mm","4.893mm","37.073mm","3.877mm","37.073mm","T","360.00","C0805X102J1GACAUTO"
"C3","Cap,0805","36.5mm","27.4mm","36.5mm","27.4mm","36.5mm","26.45mm","T","90.00","CL21A226MAQNNNE"
"C19","CAP,_0805,_HD","32.975mm","15.975mm","32.975mm","15.975mm","31.959mm","15.975mm","T","360.00","CC0805KRX7R9BB104"
"C20","Cap,0805","28.25mm","3.2mm","28.25mm","3.2mm","27.3mm","3.2mm","T","360.00","CL21A226MAQNNNE"
"Q4","SOT23-3","17.4234mm","36.614mm","17.4234mm","36.614mm","18.4822mm","35.6564mm","T","270.00","2N7002ET1G"
"C24","CAP,_0805,_HD","8mm","40.2mm","8mm","40.2mm","8mm","39.184mm","T","90.00","CC0805KRX7R9BB104"
"C25","CAP,_0805,_HD","15.85mm","31.2mm","15.85mm","31.2mm","15.85mm","30.184mm","T","90.00","CC0805KRX7R9BB104"
"C26","CAP,_0805,_HD","18.4mm","23.75mm","18.4mm","23.75mm","17.384mm","23.75mm","T","360.00","CC0805KRX7R9BB104"
"R26","res,_0805,_HD","13.1mm","26mm","13.1mm","26mm","14.05mm","26mm","T","180.00","ERA-6AEB104V"
"R28","Res,SMD,POT,TC33_Series","17.5mm","26.7mm","17.5mm","26.7mm","15.85mm","27.7mm","T","270.00","TC33X-2-101E"
"R29","res,_0805,_HD","13.1mm","28.2mm","13.1mm","28.2mm","12.15mm","28.2mm","T","360.00","ERA-6AEB104V"
"C27","CAP,_0805,_HD","8.15mm","29.7mm","8.15mm","29.7mm","8.15mm","30.716mm","T","270.00","CC0805KRX7R9BB104"
"R20","res,_0805,_HD","9.15mm","26.4mm","9.15mm","26.4mm","8.2mm","26.4mm","T","360.00","RG2012P-103-B-T5"
"R22","res,_0805,_HD","-0.825mm","40.075mm","-0.825mm","40.075mm","-0.825mm","39.125mm","T","90.00","ERA-6AEB104V"
"R32","res,_0805,_HD","10.45mm","29.75mm","10.45mm","29.75mm","10.45mm","30.7mm","T","270.00","CRCW080510K0FKTA"
"J4","CONNECTOR,BARREL,2.1MM,5.5MM,DC_POWER_JACK","35.35mm","41.25mm","33mm","44.25mm","33mm","38.25mm","B","270.00","PJ-002A"
"C28","CAP,_0805,_HD","12.6mm","32mm","12.6mm","32mm","12.6mm","33.016mm","T","270.00","CC0805CRNPO9BN3R0"

